history_id,seed,history_number,n_records,scenario,query_number,query_id,target_evidence_id,query_sha256,method,routing_vectors_scored,route_ms,total_search_ms,evidence_recalled,oracle_reader_correct,predicted_evidence_id,records_read,raw_vectors_scored,leaf_blocks_read,read_score_ms
n256_seed17_history0,17,0,256,random_keys,0,n256_seed17_history0_q0,92,fda0271f6bb00aeaf28b0b04a870aa47a6c866f8a5c3956f79bb3a8b69d281f6,raw_full_scan,0,0.000958,0.13116599999999998,1,1,92,256,256,16,0.130208
n256_seed17_history0,17,0,256,random_keys,0,n256_seed17_history0_q0,92,fda0271f6bb00aeaf28b0b04a870aa47a6c866f8a5c3956f79bb3a8b69d281f6,flat_1,16,0.192833,0.214166,1,1,92,16,16,1,0.021333
n256_seed17_history0,17,0,256,random_keys,0,n256_seed17_history0_q0,92,fda0271f6bb00aeaf28b0b04a870aa47a6c866f8a5c3956f79bb3a8b69d281f6,flat_2,16,0.005458,0.014792,1,1,92,32,32,2,0.009334
n256_seed17_history0,17,0,256,random_keys,0,n256_seed17_history0_q0,92,fda0271f6bb00aeaf28b0b04a870aa47a6c866f8a5c3956f79bb3a8b69d281f6,flat_4,16,0.002708,0.013541000000000001,1,1,92,64,64,4,0.010833
n256_seed17_history0,17,0,256,random_keys,0,n256_seed17_history0_q0,92,fda0271f6bb00aeaf28b0b04a870aa47a6c866f8a5c3956f79bb3a8b69d281f6,tree_beam_1,8,0.015875,0.02225,1,1,92,16,16,1,0.006375
n256_seed17_history0,17,0,256,random_keys,0,n256_seed17_history0_q0,92,fda0271f6bb00aeaf28b0b04a870aa47a6c866f8a5c3956f79bb3a8b69d281f6,tree_beam_2,12,0.008875,0.013624999999999998,1,1,92,32,32,2,0.00475
n256_seed17_history0,17,0,256,random_keys,0,n256_seed17_history0_q0,92,fda0271f6bb00aeaf28b0b04a870aa47a6c866f8a5c3956f79bb3a8b69d281f6,tree_beam_4,20,0.008416,0.014666,1,1,92,64,64,4,0.00625
n256_seed17_history0,17,0,256,random_keys,1,n256_seed17_history0_q1,29,370bdeacafb1e7b752964f4bcf0def23bdd4bfbf2dc85319a098494fb882d923,raw_full_scan,0,0.000833,0.012083,1,1,29,256,256,16,0.01125
n256_seed17_history0,17,0,256,random_keys,1,n256_seed17_history0_q1,29,370bdeacafb1e7b752964f4bcf0def23bdd4bfbf2dc85319a098494fb882d923,flat_1,16,0.002792,0.008458,1,1,29,16,16,1,0.005666
n256_seed17_history0,17,0,256,random_keys,1,n256_seed17_history0_q1,29,370bdeacafb1e7b752964f4bcf0def23bdd4bfbf2dc85319a098494fb882d923,flat_2,16,0.002166,0.007874,1,1,29,32,32,2,0.005708
n256_seed17_history0,17,0,256,random_keys,1,n256_seed17_history0_q1,29,370bdeacafb1e7b752964f4bcf0def23bdd4bfbf2dc85319a098494fb882d923,flat_4,16,0.001792,0.007500000000000001,1,1,29,64,64,4,0.005708
n256_seed17_history0,17,0,256,random_keys,1,n256_seed17_history0_q1,29,370bdeacafb1e7b752964f4bcf0def23bdd4bfbf2dc85319a098494fb882d923,tree_beam_1,8,0.009291,0.014833,0,0,236,16,16,1,0.005542
n256_seed17_history0,17,0,256,random_keys,1,n256_seed17_history0_q1,29,370bdeacafb1e7b752964f4bcf0def23bdd4bfbf2dc85319a098494fb882d923,tree_beam_2,12,0.00825,0.0125,1,1,29,32,32,2,0.00425
