subset,policy,n,original_retention,full_cache_future_retention,q2_q3_evidence_availability_proxy
all,attention,108,0.5555555555555556,0.6851851851851852,0.6111111111111112
all,frequency,108,0.5555555555555556,0.6851851851851852,0.6111111111111112
all,oracle_future_reuse,108,0.8425925925925926,1.0,1.0
all,recency,108,0.5555555555555556,0.6851851851851852,0.6111111111111112
all,rmm_like,108,0.5555555555555556,0.6851851851851852,0.6111111111111112
all,task_utility,108,0.3888888888888889,0.5,0.3888888888888889
old_gate,attention,24,0.8333333333333333,1.0,1.0
old_gate,frequency,24,0.8333333333333333,1.0,1.0
old_gate,oracle_future_reuse,24,0.8333333333333333,1.0,1.0
old_gate,recency,24,0.8333333333333333,1.0,1.0
old_gate,rmm_like,24,0.8333333333333333,1.0,1.0
old_gate,task_utility,24,0.08333333333333333,0.16666666666666666,0.0
full_cache_disagreement,attention,60,0.75,0.9333333333333333,0.8
full_cache_disagreement,frequency,60,0.75,0.9333333333333333,0.8
full_cache_disagreement,oracle_future_reuse,60,0.8166666666666667,1.0,1.0
full_cache_disagreement,recency,60,0.75,0.9333333333333333,0.8
full_cache_disagreement,rmm_like,60,0.75,0.9333333333333333,0.8
full_cache_disagreement,task_utility,60,0.45,0.6,0.4
