scenario,policy,n,future_useful_retention,q2_future_useful_retention,q3_future_useful_retention,q2_hot_evidence_recall,q3_hot_evidence_recall,q2_answer_accuracy,q3_answer_accuracy,retained_useless_blocks,retention_precision,eviction_regret,promotion_count,eviction_count,churn,cold_blocks_total,cold_bytes_total
cross_event,attention,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,6.0,1536.0
cross_event,frequency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,6.0,1536.0
cross_event,oracle_future_reuse,12,0.666667,0.666667,0.666667,1.0,1.0,1.0,1.0,0.0,1.0,0.333333,53.0,41.0,94.0,0.0,0.0
cross_event,recency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,41.0,94.0,6.0,1536.0
cross_event,rmm_like,12,0.333333,0.333333,0.333333,0.5,0.5,0.0,0.0,0.0,1.0,0.666667,55.0,43.0,98.0,4.0,1024.0
cross_event,task_utility,12,0.333333,0.333333,0.333333,0.5,0.5,0.0,0.0,0.0,1.0,0.666667,55.0,43.0,98.0,4.0,1024.0
delayed_reuse,attention,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.0,52.0,116.0,3.0,768.0
delayed_reuse,frequency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.0,52.0,116.0,3.0,768.0
delayed_reuse,oracle_future_reuse,12,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.5,64.0,52.0,116.0,0.0,0.0
delayed_reuse,recency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,64.0,52.0,116.0,3.0,768.0
delayed_reuse,rmm_like,12,0.25,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.75,65.0,53.0,118.0,2.0,512.0
delayed_reuse,task_utility,12,0.25,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.75,65.0,53.0,118.0,2.0,512.0
frequent_useless,attention,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,42.0,96.0,18.0,4608.0
frequent_useless,frequency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,42.0,96.0,18.0,4608.0
frequent_useless,oracle_future_reuse,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,54.0,42.0,96.0,15.0,3840.0
frequent_useless,recency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,54.0,42.0,96.0,18.0,4608.0
frequent_useless,rmm_like,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,55.0,43.0,98.0,16.0,4096.0
frequent_useless,task_utility,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,55.0,43.0,98.0,16.0,4096.0
negation_condition,attention,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,5.0,1280.0
negation_condition,frequency,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,40.0,92.0,5.0,1280.0
