scenario,policy,n,future_useful_retention,q2_future_useful_retention,q3_future_useful_retention,q2_hot_evidence_recall,q3_hot_evidence_recall,q2_answer_accuracy,q3_answer_accuracy,retained_useless_blocks,retention_precision,eviction_regret,promotion_count,eviction_count,churn,cold_blocks_total,cold_bytes_total
cross_event,attention,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,21.0,50.0,6.0,1536.0
cross_event,frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,21.0,50.0,6.0,1536.0
cross_event,oracle_future_reuse,1,0.666667,0.666667,0.666667,1.0,1.0,1.0,1.0,0.0,1.0,0.333333,29.0,21.0,50.0,0.0,0.0
cross_event,recency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,21.0,50.0,6.0,1536.0
cross_event,rmm_like,1,0.333333,0.333333,0.333333,0.5,0.5,0.0,0.0,0.0,1.0,0.666667,31.0,23.0,54.0,4.0,1024.0
cross_event,task_utility,1,0.333333,0.333333,0.333333,0.5,0.5,0.0,0.0,0.0,1.0,0.666667,31.0,23.0,54.0,4.0,1024.0
delayed_reuse,attention,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,28.0,64.0,3.0,768.0
delayed_reuse,frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,28.0,64.0,3.0,768.0
delayed_reuse,oracle_future_reuse,1,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.5,36.0,28.0,64.0,0.0,0.0
delayed_reuse,recency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,36.0,28.0,64.0,3.0,768.0
delayed_reuse,rmm_like,1,0.25,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.75,37.0,29.0,66.0,2.0,512.0
delayed_reuse,task_utility,1,0.25,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.75,37.0,29.0,66.0,2.0,512.0
frequent_useless,attention,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,22.0,52.0,18.0,4608.0
frequent_useless,frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,22.0,52.0,18.0,4608.0
frequent_useless,oracle_future_reuse,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,30.0,22.0,52.0,15.0,3840.0
frequent_useless,recency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30.0,22.0,52.0,18.0,4608.0
frequent_useless,rmm_like,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,31.0,23.0,54.0,16.0,4096.0
frequent_useless,task_utility,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,31.0,23.0,54.0,16.0,4096.0
negation_condition,attention,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,20.0,48.0,5.0,1280.0
negation_condition,frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,20.0,48.0,5.0,1280.0
negation_condition,oracle_future_reuse,1,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,28.0,20.0,48.0,0.0,0.0
negation_condition,recency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,20.0,48.0,5.0,1280.0
negation_condition,rmm_like,1,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,30.0,22.0,52.0,2.0,512.0
negation_condition,task_utility,1,0.75,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,30.0,22.0,52.0,2.0,512.0
obsolete_information,attention,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,20.0,48.0,3.0,768.0
obsolete_information,frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,20.0,48.0,3.0,768.0
obsolete_information,oracle_future_reuse,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,28.0,20.0,48.0,1.0,256.0
obsolete_information,recency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,20.0,48.0,3.0,768.0
obsolete_information,rmm_like,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,21.0,50.0,3.0,768.0
obsolete_information,task_utility,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,21.0,50.0,3.0,768.0
related_nonidentical,attention,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,21.0,50.0,6.0,1536.0
related_nonidentical,frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,21.0,50.0,6.0,1536.0
related_nonidentical,oracle_future_reuse,1,0.666667,0.666667,0.666667,1.0,1.0,1.0,1.0,0.0,1.0,0.333333,29.0,21.0,50.0,0.0,0.0
related_nonidentical,recency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29.0,21.0,50.0,6.0,1536.0
related_nonidentical,rmm_like,1,0.333333,0.333333,0.333333,0.5,0.5,0.0,0.0,0.0,1.0,0.666667,31.0,23.0,54.0,4.0,1024.0
related_nonidentical,task_utility,1,0.333333,0.333333,0.333333,0.5,0.5,0.0,0.0,0.0,1.0,0.666667,31.0,23.0,54.0,4.0,1024.0
repeated_useful,attention,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,19.0,46.0,3.0,768.0
repeated_useful,frequency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,19.0,46.0,3.0,768.0
repeated_useful,oracle_future_reuse,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,27.0,19.0,46.0,0.0,0.0
repeated_useful,recency,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,27.0,19.0,46.0,3.0,768.0
repeated_useful,rmm_like,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,28.0,20.0,48.0,1.0,256.0
repeated_useful,task_utility,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,28.0,20.0,48.0,1.0,256.0
state_update,attention,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,20.0,48.0,3.0,768.0
