scenario,policy,n,q2_target_survival,q3_target_survival,useful_memory_retention,useless_memory_occupancy,q2_hot_evidence_recall,q3_hot_evidence_recall,q2_cold_blocks,q3_cold_blocks,q2_cold_bytes,q3_cold_bytes,promotion_count,demotion_count,churn,promotion_regret,total_cold_reads,total_cold_bytes,total_blocks_accessed,total_index_probes,tier1_occupancy_q2,tier1_occupancy_q3
competing_useful,cold_raw_fallback_only,81,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,512.0,512.0,209.333333,190.666667,400.0,0.0,5.0,1280.0,5.0,3.0,18.666667,18.666667
competing_useful,oracle_utility,81,1.0,1.0,0.25,0.0,0.5,0.5,1.0,1.0,256.0,256.0,210.333333,191.666667,402.0,0.0,3.0,768.0,5.0,3.0,18.666667,18.666667
competing_useful,oracle_utility_decay_cooldown,81,0.407407,0.407407,0.101852,0.0,0.203704,0.203704,1.592593,1.592593,407.703704,407.703704,210.333333,209.925926,420.259259,0.0,4.185185,1071.407407,5.0,3.0,0.407407,0.407407
competing_useful,perfect_routing_no_promotion,81,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,512.0,512.0,209.333333,190.666667,400.0,0.0,5.0,1280.0,5.0,3.0,18.666667,18.666667
competing_useful,retrieval_count,81,1.0,1.0,0.25,0.0,0.5,0.5,1.0,1.0,256.0,256.0,212.333333,193.666667,406.0,0.0,3.0,768.0,5.0,3.0,18.666667,18.666667
competing_useful,static,81,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,512.0,512.0,209.333333,190.666667,400.0,0.0,5.0,1280.0,5.0,3.0,18.666667,18.666667
delayed_second_use,cold_raw_fallback_only,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,256.0,256.0,207.333333,188.666667,396.0,0.0,3.0,768.0,3.0,3.0,18.666667,18.666667
delayed_second_use,oracle_utility,81,0.0,1.0,0.25,0.0,0.0,1.0,1.0,0.0,256.0,0.0,208.333333,189.666667,398.0,0.0,2.0,512.0,3.0,3.0,18.666667,18.666667
delayed_second_use,oracle_utility_decay_cooldown,81,0.0,0.444444,0.111111,0.0,0.0,0.444444,1.0,0.555556,256.0,142.222222,208.333333,207.888889,416.222222,0.0,2.555556,654.222222,3.0,3.0,0.444444,0.444444
delayed_second_use,perfect_routing_no_promotion,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,256.0,256.0,207.333333,188.666667,396.0,0.0,3.0,768.0,3.0,3.0,18.666667,18.666667
delayed_second_use,retrieval_count,81,0.0,1.0,0.25,0.0,0.0,1.0,1.0,0.0,256.0,0.0,209.333333,190.666667,400.0,0.0,2.0,512.0,3.0,3.0,18.666667,18.666667
delayed_second_use,static,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,256.0,256.0,207.333333,188.666667,396.0,0.0,3.0,768.0,3.0,3.0,18.666667,18.666667
obsolete_target,cold_raw_fallback_only,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,256.0,256.0,208.333333,189.666667,398.0,0.0,3.0,768.0,3.0,3.0,18.666667,18.666667
obsolete_target,oracle_utility,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,256.0,256.0,209.333333,190.666667,400.0,1.0,3.0,768.0,3.0,3.0,18.666667,18.666667
obsolete_target,oracle_utility_decay_cooldown,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,256.0,256.0,209.333333,208.925926,418.259259,1.0,3.0,768.0,3.0,3.0,0.444444,0.407407
obsolete_target,perfect_routing_no_promotion,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,256.0,256.0,208.333333,189.666667,398.0,0.0,3.0,768.0,3.0,3.0,18.666667,18.666667
obsolete_target,retrieval_count,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,256.0,256.0,211.333333,192.666667,404.0,1.0,3.0,768.0,3.0,3.0,18.666667,18.666667
